PR,PROVINCIA,Centroid_X,Centroid_Y
05,ÁVILA,-4.945567154094963,40.57104341815538
09,BURGOS,-3.603565824364563,42.361569114479984
24,LEÓN,-5.839905311865264,42.619885364341286
34,PALENCIA,-4.5379440674584925,42.370691289323496
37,SALAMANCA,-6.065454926998783,40.80497756597908
40,SEGOVIA,-4.054163071064428,41.1709960417909
42,SORIA,-2.58878734767611,41.620799844302766
47,VALLADOLID,-4.843657449013079,41.631478141387724
49,ZAMORA,-5.980551688788034,41.72719201225138
